student_id,subject_id,mid,final,total
2251162100,ATTT101,7.2,9.5,8.3
2251162100,ATTT102,7.0,8.8,7.9
2251162100,ATTT103,8.5,8.6,8.6
2251162101,ATTT102,6.5,9.5,8.0
2251162101,ATTT103,6.1,9.1,7.6
2251162101,ATTT101,8.7,7.7,8.2
2251162102,TTNT103,6.0,7.5,6.8
2251162102,TTNT102,8.7,9.3,9.0
2251162102,TTNT101,6.9,6.2,6.6
2251162103,TTNT102,8.9,8.4,8.7
2251162103,TTNT103,8.5,6.3,7.4
2251162103,TTNT101,7.2,8.6,7.9
2251162104,TTNT102,8.1,6.1,7.1
2251162104,TTNT101,8.6,7.9,8.2
2251162104,TTNT103,7.4,7.1,7.2
2251162105,CNPM102,8.7,7.5,8.1
2251162105,CNPM101,6.8,7.2,7.0
2251162105,CNPM103,6.6,9.2,7.9
2251162106,ATTT103,6.9,8.3,7.6
2251162106,ATTT102,8.0,6.4,7.2
2251162106,ATTT101,8.8,9.3,9.1
2251162107,ATTT103,6.4,7.4,6.9
2251162107,ATTT101,7.7,6.3,7.0
2251162107,ATTT102,8.1,9.3,8.7
2251162108,CNPM102,8.2,6.9,7.5
2251162108,CNPM103,6.9,6.2,6.6
2251162108,CNPM101,6.5,8.9,7.7
2251162109,HTTT101,7.3,6.6,6.9
2251162109,HTTT103,8.3,8.0,8.2
2251162109,HTTT102,8.1,9.2,8.6
2251162110,HTTT104,6.7,7.9,7.3
2251162110,HTTT102,6.8,9.5,8.2
2251162110,HTTT103,6.5,8.7,7.6
2251162111,TTNT103,8.8,8.9,8.9
2251162111,TTNT102,7.9,9.0,8.4
2251162111,TTNT101,8.2,9.1,8.6
2251162112,ATTT103,6.4,7.2,6.8
2251162112,ATTT101,6.5,7.6,7.0
2251162112,ATTT102,8.7,6.5,7.6
2251162113,HTTT102,7.3,8.0,7.7
2251162113,HTTT101,6.4,8.5,7.5
2251162113,HTTT104,6.4,6.9,6.7
2251162113,HTTT103,7.3,7.2,7.2
2251162114,CNPM102,6.1,9.5,7.8
2251162114,CNPM103,6.6,7.2,6.9
2251162114,CNPM101,6.6,8.1,7.3
2251162115,CNPM102,8.5,9.2,8.8
2251162115,CNPM103,7.6,7.9,7.8
